"FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodSaturatedFat","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodTotalsugar","FoodAddedsugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
1.39,0.6,0.82,-0.04,0.78,1.18,0.52,0.68,0.82,0.91,1.03,-0.09,-0.09,0,-0.02,0.34,0.77,0.93,1,0.92,0.84
0.6,1.33,0.56,0.33,1.06,0.75,0.95,1.39,1.33,0.16,0.24,0.25,0.19,0.73,0.31,-0.21,0.29,0.65,0.16,0.95,0.47
0.82,0.56,1.54,-0.12,0.64,0.77,0.63,0.51,0.54,0.61,0.39,-0.28,0.03,0.39,1.15,0.25,1.39,0.76,0.71,0.16,1.16
-0.04,0.33,-0.12,34.96,0.29,0.13,0.24,0.49,0.05,-0.25,-0.16,0.71,0,1.35,-0.17,-0.44,-0.07,0.17,-0.77,-1.9,0.31
0.78,1.06,0.64,0.29,76.01,0.73,0.77,1.37,1.71,0.43,0.61,0.4,0.19,1.06,0.5,-0.22,0.26,1.98,1.91,-3.07,0.53
1.18,0.75,0.77,0.13,0.73,5.25,0.45,0.91,1.12,0.3,0.15,0.22,0.11,1.24,0.1,0.36,0.39,1.11,0.28,0.39,0.43
0.52,0.95,0.63,0.24,0.77,0.45,2.13,1.01,0.6,0.35,0.37,0.07,0.08,0.35,0.49,-0.13,0.73,0.55,0.19,-0.15,0.44
0.68,1.39,0.51,0.49,1.37,0.91,1.01,2.9,1.64,0.12,0.23,0.35,0.25,0.9,0.28,-0.35,0.08,0.75,0.17,1.95,0.39
0.82,1.33,0.54,0.05,1.71,1.12,0.6,1.64,9.76,0.13,0.34,0.16,0.21,0.54,0.1,-0.06,-0.11,0.83,0.15,2.6,0.08
0.91,0.16,0.61,-0.25,0.43,0.3,0.35,0.12,0.13,1.73,2.12,-0.31,-0.1,-0.55,0.09,0.32,1.12,0.48,2.46,-0.22,0.66
1.03,0.24,0.39,-0.16,0.61,0.15,0.37,0.23,0.34,2.12,4.72,-0.18,-0.14,-0.79,-0.04,0.32,0.63,0.32,4.04,0.09,0.16
-0.09,0.25,-0.28,0.71,0.4,0.22,0.07,0.35,0.16,-0.31,-0.18,1.89,0.5,1.61,0.09,-0.32,-0.64,0.12,-0.34,0.76,-0.31
-0.09,0.19,0.03,0,0.19,0.11,0.08,0.25,0.21,-0.1,-0.14,0.5,1.94,2.11,0.68,-0.61,-0.06,-0.06,0.24,0.37,0.03
0,0.73,0.39,1.35,1.06,1.24,0.35,0.9,0.54,-0.55,-0.79,1.61,2.11,50.87,3.6,-1.5,-0.38,0.99,-1.34,0.84,0.98
-0.02,0.31,1.15,-0.17,0.5,0.1,0.49,0.28,0.1,0.09,-0.04,0.09,0.68,3.6,16.57,0.33,0.91,0.28,0.38,-0.68,1.04
0.34,-0.21,0.25,-0.44,-0.22,0.36,-0.13,-0.35,-0.06,0.32,0.32,-0.32,-0.61,-1.5,0.33,2.12,0.35,0.11,-0.25,-0.43,0.38
0.77,0.29,1.39,-0.07,0.26,0.39,0.73,0.08,-0.11,1.12,0.63,-0.64,-0.06,-0.38,0.91,0.35,2.74,0.51,1.23,-1.24,1.32
0.93,0.65,0.76,0.17,1.98,1.11,0.55,0.75,0.83,0.48,0.32,0.12,-0.06,0.99,0.28,0.11,0.51,13.13,0.57,0.79,1.1
1,0.16,0.71,-0.77,1.91,0.28,0.19,0.17,0.15,2.46,4.04,-0.34,0.24,-1.34,0.38,-0.25,1.23,0.57,17.74,-0.37,0.21
0.92,0.95,0.16,-1.9,-3.07,0.39,-0.15,1.95,2.6,-0.22,0.09,0.76,0.37,0.84,-0.68,-0.43,-1.24,0.79,-0.37,150.34,1.19
0.84,0.47,1.16,0.31,0.53,0.43,0.44,0.39,0.08,0.66,0.16,-0.31,0.03,0.98,1.04,0.38,1.32,1.1,0.21,1.19,19.79
