,FoodAlcohol,FoodAddedSugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat
Intercept,9.3726606797883,-16.4888439268638,1.49925863860719,3.03427939789324,3.11086234798561,11.5874210019785,22.75238547242
gender2,0.0608723040072172,-0.109621224569878,-0.342647477889538,-0.297267029317317,-0.0332674981323727,0.0126777562311453,0.132906247274634
age1,-0.0392060722562284,-0.0089552297794549,0.0411550728303174,0.0182162810074725,0.00553430982221353,0.00484459909016638,0.00153621581200744
age2,0.000316962566355624,6.31601436993985e-05,-0.000470057360374262,-0.000215682002303099,-0.000126528280944333,1.42463930555104e-05,6.97757683136476e-05
ethnicity2,1.15074591581305,0.553346086249147,-2.81007407920461,-2.14788246780533,-0.240281025608457,0.0968886240440687,2.28393841003734
ethnicity3,1.57682173353096,0.966110157467004,-0.38259115869636,-0.814979682498277,0.740274226247663,0.520293312459668,1.38540258394817
ethnicity4,0.702958818105327,-0.121717988006307,0.0145799453882645,0.0206387641992477,-0.294630623711664,0.414256861535519,1.98592773268554
log_income,-2.25122405903889,5.11522980579583,-0.674205915608612,-1.22533043557029,-0.622177710133596,-3.87978063682291,-8.34328373724976
log_income2,0.134732040745504,-0.48217273906729,-0.0197812259387861,0.016819100957051,0.016676555560597,0.30308112159528,0.670392758839195
region2,0.195888959423408,-1.08007600842819,0.417212077891348,1.51972187545758,0.149314979562953,-0.0384668135126402,-0.415677804223955
region3,0.155135536471871,0.225313885712504,0.00911003921159375,0.623730924434578,0.293139166122382,-0.0463725318644232,-0.121495126847074
region4,0.309408383682483,0.129922020091191,0.0302591602468358,0.556598900376025,0.150874602134125,-0.246366508112818,-0.263782918262048
